联赛id,轮数,百家欧赔url,,球队名字 (百家欧赔),赔率 (百家欧赔),概率 (百家欧赔),北单(-1) (交易比例),必发 (交易比例),成交价 (必发成交),成交量 (必发成交),庄家盈亏 (必发成交),必发指数 (指数分析),冷热指数 (指数分析),盈亏指数 (指数分析),对局方比分,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值,,赔率公司定制 (定制一),胜 (及时欧赔),胜 (及时欧赔),差值,平 (及时欧赔),平 (及时欧赔),负 (及时欧赔),负 (及时欧赔),差值,胜 (及时概率),胜 (及时概率),差值,平 (及时概率),平 (及时概率),负 (及时概率),负 (及时概率),差值,值 (返还率),值 (返还率),返还率差,胜 (凯利指数),胜 (凯利指数),差值,平 (凯利指数),平 (凯利指数),负 (凯利指数),负 (凯利指数),差值
6166,1,https://odds.500.com/fenxi/ouzhi-966073.shtml,,平阳,1.80,50.2%,-,-,-,-,-,-,-,-,平阳-清化 1:0,,威廉希尔, 1.44,1.85,-0.41000000000000014,4.20,3.25, 5.50,3.90,1.6,62.32%,48.93%,13.39%,21.37%,27.85%,16.32%,23.21%,-6.89%,89.74%,90.53%,-0.79%,0.73,0.93,-0.20000000000000007,1.09,0.84,1.30,0.92,0.38,,澳门, 1.70,1.80,-0.10000000000000009,3.40,3.25, 3.70,3.50,0.20000000000000018,51.03%,48.35%,2.68%,25.52%,26.78%,23.45%,24.87%,-1.42%,86.76%,87.04%,-0.28%,0.86,0.91,-0.050000000000000044,0.88,0.84,0.88,0.83,0.050000000000000044,,立博, 1.75,1.85,-0.10000000000000009,3.40,3.25, 3.90,3.70,0.19999999999999973,50.93%,48.33%,2.6%,26.21%,27.51%,22.85%,24.16%,-1.31%,89.13%,89.41%,-0.28%,0.88,0.93,-0.050000000000000044,0.88,0.84,0.92,0.88,0.040000000000000036,,Bet365, 1.44,1.91,-0.47,4.20,3.75, 5.50,3.30,2.2,62.32%,47.89%,14.43%,21.37%,24.39%,16.32%,27.72%,-11.4%,89.74%,91.47%,-1.73%,0.73,0.96,-0.22999999999999998,1.09,0.97,1.30,0.78,0.52,,Interwetten, 1.43,1.80,-0.3700000000000001,4.30,3.45, 6.00,3.90,2.1,63.66%,50.42%,13.24%,21.17%,26.31%,15.17%,23.27%,-8.1%,91.03%,90.76%,0.27%,0.72,0.91,-0.19000000000000006,1.11,0.89,1.42,0.92,0.4999999999999999,,SNAI, 1.40,1.87,-0.4700000000000002,4.25,3.40, 6.00,3.70,2.3,63.99%,48.65%,15.34%,21.08%,26.76%,14.93%,24.59%,-9.66%,89.59%,90.98%,-1.39%,0.71,0.94,-0.22999999999999998,1.10,0.88,1.42,0.88,0.5399999999999999,,皇冠, 1.58,1.87,-0.29000000000000004,3.70,3.30, 4.65,3.85,0.8000000000000003,56.60%,48.72%,7.88%,24.17%,27.61%,19.23%,23.67%,-4.44%,89.43%,91.11%,-1.68%,0.80,0.94,-0.1399999999999999,0.96,0.86,1.10,0.91,0.19000000000000006,,易胜博, 1.58,1.87,-0.29000000000000004,3.70,3.30, 4.70,3.90,0.8000000000000003,56.72%,48.87%,7.85%,24.22%,27.69%,19.07%,23.43%,-4.36%,89.61%,91.39%,-1.78%,0.80,0.94,-0.1399999999999999,0.96,0.86,1.11,0.92,0.19000000000000006,,伟德, 1.40,1.80,-0.40000000000000013,4.33,3.40, 6.00,3.80,2.2,64.24%,49.92%,14.32%,20.77%,26.43%,14.99%,23.65%,-8.66%,89.94%,89.86%,0.08%,0.71,0.91,-0.20000000000000007,1.12,0.88,1.42,0.90,0.5199999999999999,,Bwin, 1.44,1.67,-0.22999999999999998,4.25,3.50, 5.50,4.40,1.0999999999999996,62.47%,53.86%,8.61%,21.17%,25.70%,16.36%,20.44%,-4.08%,89.96%,89.95%,0.01%,0.73,0.84,-0.10999999999999999,1.10,0.91,1.30,1.04,0.26
,,,,平局,3.48,26.0%,-,-,-,-,-,-,-,-
,,,,清化,3.84,23.8%,-,-,-,-,-,-,-,-

6166,1,https://odds.500.com/fenxi/ouzhi-966074.shtml,,义安蓝江,2.23,40.6%,-,-,-,-,-,-,-,-,义安蓝江-SQC平定 1:1,,威廉希尔, 1.73,2.30,-0.5699999999999998,3.75,3.00, 3.75,3.00,0.75,52.01%,39.47%,12.54%,23.99%,30.26%,23.99%,30.26%,-6.27%,89.98%,90.79%,-0.81%,0.70,0.93,-0.2300000000000001,1.06,0.85,1.16,0.93,0.22999999999999987,,澳门, 2.15,2.15,0.0,3.00,3.00, 2.80,2.80,0.0,40.25%,40.25%,0.0%,28.85%,28.85%,30.91%,30.91%,0.0%,86.54%,86.54%,0.0%,0.87,0.87,0.0,0.85,0.85,0.87,0.87,0.0,,立博, 2.00,2.25,-0.25,3.25,3.00, 3.30,3.00,0.2999999999999998,45.02%,40.00%,5.02%,27.70%,30.00%,27.28%,30.00%,-2.72%,90.03%,90.00%,0.03%,0.81,0.91,-0.09999999999999998,0.92,0.85,1.02,0.93,0.08999999999999997,,Bet365, 1.73,2.20,-0.4700000000000002,3.75,3.60, 3.75,2.75,1.0,52.01%,41.47%,10.54%,23.99%,25.35%,23.99%,33.18%,-9.19%,89.98%,91.24%,-1.26%,0.70,0.89,-0.19000000000000006,1.06,1.02,1.16,0.85,0.30999999999999994,,Interwetten, 1.77,2.30,-0.5299999999999998,3.60,3.20, 3.90,2.85,1.0499999999999998,51.40%,39.59%,11.81%,25.27%,28.46%,23.33%,31.95%,-8.62%,90.98%,91.06%,-0.08%,0.72,0.93,-0.21000000000000008,1.02,0.91,1.21,0.88,0.32999999999999996,,SNAI, 1.75,2.30,-0.5499999999999998,3.70,3.10, 3.80,2.90,0.8999999999999999,51.72%,39.45%,12.27%,24.46%,29.27%,23.82%,31.29%,-7.47%,90.51%,90.73%,-0.22%,0.71,0.93,-0.22000000000000008,1.05,0.88,1.18,0.90,0.2799999999999999,,皇冠, 2.03,2.24,-0.2100000000000004,3.15,3.15, 3.25,2.99,0.2599999999999998,44.07%,40.65%,3.42%,28.40%,28.90%,27.53%,30.45%,-2.92%,89.46%,91.05%,-1.59%,0.82,0.91,-0.09000000000000008,0.89,0.89,1.01,0.93,0.07999999999999996,,易胜博, 2.03,2.24,-0.2100000000000004,3.20,3.20, 3.30,3.00,0.2999999999999998,44.45%,40.87%,3.58%,28.20%,28.61%,27.35%,30.52%,-3.17%,90.24%,91.55%,-1.31%,0.82,0.91,-0.09000000000000008,0.91,0.91,1.02,0.93,0.08999999999999997,,伟德, 1.75,2.30,-0.5499999999999998,3.50,3.10, 3.90,2.88,1.02,51.32%,39.36%,11.96%,25.66%,29.20%,23.03%,31.43%,-8.4%,89.80%,90.53%,-0.73%,0.71,0.93,-0.22000000000000008,0.99,0.88,1.21,0.89,0.31999999999999995,,Bwin, 1.72,2.25,-0.53,3.75,3.20, 3.75,2.80,0.9500000000000002,52.16%,39.89%,12.27%,23.92%,28.05%,23.92%,32.06%,-8.14%,89.71%,89.76%,-0.05%,0.70,0.91,-0.21000000000000008,1.06,0.91,1.16,0.87,0.2899999999999999
,,,,平局,3.19,28.4%,-,-,-,-,-,-,-,-
,,,,SQC平定,2.93,31.0%,-,-,-,-,-,-,-,-

6166,1,https://odds.500.com/fenxi/ouzhi-966075.shtml,,越电信,1.40,64.5%,-,-,-,-,-,-,-,-,越电信-FC海防 0:1,,威廉希尔, 1.53,1.44,0.09000000000000008,4.20,3.80, 4.50,6.50,-2.0,58.68%,62.48%,-3.8%,21.37%,23.68%,19.95%,13.84%,6.11%,89.77%,89.97%,-0.2%,0.99,0.93,0.05999999999999994,0.89,0.81,0.63,0.91,-0.28,,立博, 1.61,1.44,0.17000000000000015,3.60,3.80, 4.50,6.00,-1.5,55.40%,61.77%,-6.37%,24.78%,23.41%,19.82%,14.82%,5.0%,89.20%,88.95%,0.25%,1.04,0.93,0.10999999999999999,0.77,0.81,0.63,0.84,-0.20999999999999996,,Bet365, 1.22,1.36,-0.14000000000000012,5.50,4.33, 9.00,7.50,1.5,73.67%,66.87%,6.8%,16.34%,21.00%,9.99%,12.13%,-2.14%,89.88%,90.94%,-1.06%,0.79,0.88,-0.08999999999999997,1.17,0.92,1.25,1.04,0.20999999999999996,,Interwetten, 1.22,1.40,-0.17999999999999994,6.00,4.40, 10.00,7.00,3.0,75.45%,65.87%,9.58%,15.34%,20.96%,9.21%,13.17%,-3.96%,92.05%,92.22%,-0.17%,0.79,0.91,-0.12,1.28,0.94,1.39,0.98,0.4099999999999999,,SNAI, 1.21,1.43,-0.21999999999999997,5.50,4.00, 9.25,6.50,2.75,74.03%,63.39%,10.64%,16.29%,22.66%,9.68%,13.95%,-4.27%,89.58%,90.65%,-1.07%,0.78,0.93,-0.15000000000000002,1.17,0.85,1.29,0.91,0.38,,皇冠, 1.50,1.47,0.030000000000000027,3.90,4.00, 5.10,5.90,-0.8000000000000007,59.57%,61.86%,-2.29%,22.91%,22.73%,17.52%,15.41%,2.11%,89.35%,90.93%,-1.58%,0.97,0.95,0.020000000000000018,0.83,0.85,0.71,0.82,-0.10999999999999999,,易胜博, 1.46,1.47,-0.010000000000000009,4.00,4.00, 5.40,5.90,-0.5,61.15%,61.86%,-0.71%,22.32%,22.73%,16.53%,15.41%,1.12%,89.28%,90.93%,-1.65%,0.95,0.95,0.0,0.85,0.85,0.75,0.82,-0.06999999999999995,,伟德, 1.20,1.44,-0.24,5.75,4.00, 10.00,6.00,4.0,75.26%,62.50%,12.76%,15.71%,22.50%,9.03%,15.00%,-5.97%,90.31%,90.00%,0.31%,0.78,0.93,-0.15000000000000002,1.22,0.85,1.39,0.84,0.5499999999999999,,Bwin, 1.22,1.34,-0.1200000000000001,5.50,4.40, 9.00,7.25,1.75,73.67%,67.14%,6.53%,16.34%,20.45%,9.99%,12.41%,-2.42%,89.88%,89.97%,-0.09%,0.79,0.87,-0.07999999999999996,1.17,0.94,1.25,1.01,0.24,,Gamebookers, 1.22,1.34,-0.1200000000000001,5.50,4.40, 9.00,7.25,1.75,73.67%,67.14%,6.53%,16.34%,20.45%,9.99%,12.41%,-2.42%,89.88%,89.97%,-0.09%,0.79,0.87,-0.07999999999999996,1.17,0.94,1.25,1.01,0.24
,,,,平局,4.25,21.4%,-,-,-,-,-,-,-,-
,,,,FC海防,6.50,14.1%,-,-,-,-,-,-,-,-

6166,1,https://odds.500.com/fenxi/ouzhi-966076.shtml,,大南城,2.16,41.8%,-,-,-,-,-,-,-,-,大南城-胡志明市 1:0,,威廉希尔, 2.60,2.30,0.30000000000000027,3.00,3.00, 2.62,3.00,-0.3799999999999999,34.98%,39.47%,-4.49%,30.31%,30.26%,34.71%,30.26%,4.45%,90.94%,90.79%,0.15%,1.09,0.96,0.13000000000000012,0.91,0.91,0.73,0.83,-0.09999999999999998,,澳门, 2.40,2.10,0.2999999999999998,3.00,2.90, 2.50,3.05,-0.5499999999999998,36.23%,41.45%,-5.22%,28.99%,30.01%,34.78%,28.54%,6.24%,86.96%,87.04%,-0.08%,1.00,0.88,0.12,0.91,0.88,0.70,0.85,-0.15000000000000002,,立博, 2.35,2.20,0.1499999999999999,3.10,2.90, 2.70,3.10,-0.3999999999999999,38.05%,40.51%,-2.46%,28.84%,30.73%,33.11%,28.75%,4.36%,89.41%,89.13%,0.28%,0.98,0.92,0.05999999999999994,0.94,0.88,0.75,0.86,-0.10999999999999999,,Bet365, 2.20,2.20,0.0,3.30,3.30, 2.80,3.00,-0.20000000000000018,40.78%,41.67%,-0.89%,27.18%,27.78%,32.04%,30.56%,1.48%,89.71%,91.67%,-1.96%,0.92,0.92,0.0,1.00,1.00,0.78,0.83,-0.04999999999999993,,Interwetten, 2.45,2.25,0.20000000000000018,3.25,2.90, 2.60,3.20,-0.6000000000000001,37.09%,40.34%,-3.25%,27.96%,31.30%,34.95%,28.36%,6.59%,90.87%,90.76%,0.11%,1.03,0.94,0.09000000000000008,0.99,0.88,0.72,0.89,-0.17000000000000004,,SNAI, 2.20,2.25,-0.04999999999999982,3.35,2.85, 2.90,3.25,-0.3500000000000001,41.40%,40.29%,1.11%,27.19%,31.81%,31.41%,27.90%,3.51%,91.08%,90.66%,0.42%,0.92,0.94,-0.019999999999999907,1.02,0.86,0.81,0.90,-0.08999999999999997,,皇冠, 2.48,2.19,0.29000000000000004,3.05,2.92, 2.55,3.10,-0.5500000000000003,35.90%,40.71%,-4.81%,29.19%,30.53%,34.91%,28.76%,6.15%,89.03%,89.15%,-0.12%,1.04,0.92,0.12,0.93,0.89,0.71,0.86,-0.15000000000000002,,易胜博, 2.48,2.19,0.29000000000000004,3.10,2.90, 2.60,3.10,-0.5,36.31%,40.62%,-4.31%,29.05%,30.68%,34.64%,28.70%,5.94%,90.06%,88.97%,1.09%,1.04,0.92,0.12,0.94,0.88,0.72,0.86,-0.14,,伟德, 2.10,2.15,-0.04999999999999982,3.40,3.00, 2.90,3.20,-0.30000000000000027,42.70%,41.87%,0.83%,26.38%,30.00%,30.92%,28.13%,2.79%,89.68%,90.01%,-0.33%,0.88,0.90,-0.020000000000000018,1.03,0.91,0.81,0.89,-0.07999999999999996,,Bwin, 2.20,2.05,0.15000000000000036,3.30,2.95, 2.80,3.50,-0.7000000000000002,40.78%,43.85%,-3.07%,27.18%,30.47%,32.04%,25.68%,6.36%,89.71%,89.89%,-0.18%,0.92,0.86,0.06000000000000005,1.00,0.89,0.78,0.97,-0.18999999999999995
,,,,平局,2.98,30.3%,-,-,-,-,-,-,-,-
,,,,胡志明市,3.25,27.9%,-,-,-,-,-,-,-,-

