球队,链接,比赛日期,盘口走势,分钟,半场让球,分钟,半场大小球,分钟,半场角球,分钟,全场让球,分钟,全场大小球,分钟,全场角球,分钟,射正球门,分钟,射偏球门,分钟,危险进攻,分钟,射正球门,分钟,射偏球门,分钟,危险进攻,角球信息,进球信息
蒙特港 vs 梅利普拉,https://www.dszuqiu.com/race_xc/811233,2021/01/24 21:34,-0.25 // 2.0 // 8.5,66,                                                           ,75,                                                                                                  ,42,                                                                                                                                                                  -,66,                                                                                          -0.25,52,                                                                                                                     1.925,47,                                                                                                                                          1.900,23,3比0,65,2比2,42,39比35,54,4比2,75,3比2,46,51比34,"上半场角球: 
40' - 第4角球 - 蒙特港
下半场角球: 
89' - 第7角球 - 蒙特港
90+6' - 第8角球 - 蒙特港
",
哥查瓜 vs 瓦伦尔,https://www.dszuqiu.com/race_xc/810474,2021/01/23 05:01,-0.5 // 2.25 // 10,66,                                                                  ,75,                                                                                                            ,42,                                                                                                                                                                                 ,66,                                                                                                                                            ,52,                                                                                                                                           1.725,47,                                                                                                                                                            2.025,23,2比1,65,7比5,42,15比18,54,4比3,75,6比7,46,19比19,"上半场角球: 
36' - 第3角球 - Deportes Vallenar
45' - 第4角球 - 康加瓜 CD
下半场角球: 
90+1' - 第7角球 - 康加瓜 CD
",
AC科林纳 vs 伊比利亚洛杉矶,https://www.dszuqiu.com/race_xc/810473,2021/01/22 21:00,0.0 // 2.25 // -,66,                                                                    ,75,                                                                                                                          ,42,,66,                                                                                                               0.0,52,                                                                                                                                         2.025,47,,23,3比0,65,4比3,42,32比27,54,4比3,75,3比5,46,32比36,"上半场角球: 
40' - 第5角球 - CDSC伊比利亚
45+2' - 第6角球 - CDSC伊比利亚
下半场角球: 
90+1' - 第14角球 - AC Colina
","上半场进球: 
37' - 第1个进球 -   (CDSC伊比利亚) - 点球
41' - 第2个进球 -   (CDSC伊比利亚) 
下半场进球: 
90+2' - 第5个进球 -   (AC Colina) 
90+4' - 第6个进球 -   (CDSC伊比利亚) 
"
迪帕特斯 vs 塔尔卡流浪者,https://www.dszuqiu.com/race_xc/810217,2021/01/22 05:29,-0.5 // 2.25 // 9.5,66,                                                        ,75,                                                                                                     ,42,                                                                                                                                                                                     ,66,                                                                                                                                        ,52,                                                                                                                                                       1.700,47,                                                                                                                                      1.750,23,3比0,65,4比4,42,40比32,54,4比3,75,5比4,46,42比34,,
G贝拉斯克斯 vs D雷科莱塔,https://www.dszuqiu.com/race_xc/810216,2021/01/22 05:01,0.0 // 2.5 // 9,66,                                                      ,75,                                                                                                             ,42,                                                                                                                                                ,66,                                                                                                       0.0,52,                                                                                                                           1.975,47,                                                                                                                           1.925,23,3比0,65,7比7,42,32比27,54,4比3,75,8比7,46,20比14,,"上半场进球: 
42' - 第1个进球 -   (Deportes雷科莱塔) 
"
梅利普拉 vs 蒙特港,https://www.dszuqiu.com/race_xc/809840,2021/01/21 06:01,-0.25 // 2.0 // 8.5,66,                                                                         ,75,                                                                                                                        ,42,                                                                                                                                                                            ,66,                                                                                                                  0.0,52,                                                                                                                                                   1.900,47,                                                                                                                                        2.075,23,3比0,65,1比4,42,30比40,54,4比3,75,1比4,46,41比36,"上半场角球: 
36' - 第4角球 - 蒙特港
下半场角球: 
86' - 第8角球 - 梅里比亚
87' - 第9角球 - 梅里比亚
88' - 第10角球 - 梅里比亚
",
利纳雷斯体育 vs 独立科克,https://www.dszuqiu.com/race_xc/810008,2021/01/21 05:02,0.0 // 2.5 // 9,66,                                                     ,75,                                                                                                    ,42,                                                                                                                                                      ,66,                                                                                            0.0,52,                                                                                                                                 1.950,47,                                                                                                                                  1.775,23,1比0,65,10比4,42,15比16,54,4比3,75,10比4,46,16比18,"上半场角球: 
45+3' - 第3角球 - 考克内斯独立
下半场角球: 
85' - 第6角球 - Deportes Linares
90' - 第7角球 - 考克内斯独立
",
圣安东尼奥联 vs CCD Fernandez Vial,https://www.dszuqiu.com/race_xc/810009,2021/01/21 05:00,+0.5 // 2.5 // -,66,                                         ,75,                                                                                                    ,42,,66,                                                                     ,52,                                                                                                  1.800,47,,23,0比3,65,10比4,42,28比48,54,5比1,75,10比4,46,51比34,"上半场角球: 
45+4' - 第10角球 - 圣安东尼奥联
下半场角球: 
86' - 第15角球 - CCD Fernandez Vial
88' - 第16角球 - 圣安东尼奥联
90+5' - 第17角球 - CCD Fernandez Vial
",
圣安东尼奥联 vs G贝拉斯克斯,https://www.dszuqiu.com/race_xc/809340,2021/01/18 05:03,-0.25 // 2.0 // -,66,                                                  ,75,                                                                                       ,42,,66,                                                                                                       ,52,                                                                                                               1.875,47,,23,0比3,65,10比4,42,44比24,54,1比3,75,10比4,46,28比51,"上半场角球: 
35' - 第5角球 - 圣安东尼奥联
42' - 第6角球 - 圣安东尼奥联
43' - 第7角球 - 圣安东尼奥联
","下半场进球: 
90+2' - 第1个进球 -   (维拉斯克斯) 
"
蒙特港 vs 马加拉内斯,https://www.dszuqiu.com/race_xc/809398,2021/01/17 21:06,-0.25 // 2.0 // 9,66,                                                         ,75,                                                                                                           ,42,                                                                                                                                                          ,66,                                                                                                                      ,52,                                                                                                           1.700,47,                                                                                                                           1.900,23,0比3,65,10比4,42,11比9,54,5比1,75,10比4,46,14比11,"上半场角球: 
44' - 第3角球 - 蒙特港
",
圣菲利浦联 vs 梅利普拉,https://www.dszuqiu.com/race_xc/809399,2021/01/17 21:03,-0.5 // 1.75 // 8.5,66,                                                                                                         ,75,                                                                                                                 ,42,                                                                                                                                                        2.425,66,                                                                                                                                               -0.25,52,                                                                                                                                                       2.100,47,                                                                                                                                           -,23,0比3,65,10比4,42,47比21,54,5比3,75,10比4,46,27比60,"上半场角球: 
39' - 第2角球 - 圣菲利浦联
41' - 第3角球 - 圣菲利浦联
45' - 第4角球 - 圣菲利浦联
下半场角球: 
85' - 第6角球 - 圣菲利浦联
86' - 第7角球 - 梅里比亚
",
巴列彻 vs 塔尔卡流浪者,https://www.dszuqiu.com/race_xc/809396,2021/01/17 21:02,+0.75 // 2.75 // 9,66,                                                                                      ,75,                                                                                                                                      ,42,                                                                                                                                                                   ,66,                                                                                                                                                      +0.25,52,                                                                                                                                                                             2.000,47,                                                                                                                                  1.775,23,0比1,65,1比5,42,32比11,54,5比3,75,10比4,46,41比11,"上半场角球: 
41' - 第3角球 - 塔尔卡流浪
","上半场进球: 
40' - 第4个进球 -   (巴列彻) 
下半场进球: 
90+1' - 第8个进球 -   (巴列彻) 
"
聖塔克魯茲 vs 华尔迪维亚,https://www.dszuqiu.com/race_xc/809397,2021/01/17 21:00,0.0 // 2.75 // 9.5,66,                                                                              ,75,                                                                                                                                               ,42,                                                                                                                                                                                 1.775,66,                                                                                                               -0.25,52,                                                                                                                                                                       1.775,47,                                                                                                                                                       2.000,23,4比0,65,3比7,42,20比12,54,4比5,75,10比4,46,17比25,"上半场角球: 
37' - 第6角球 - 圣塔克鲁兹
41' - 第7角球 - 圣塔克鲁兹
42' - 第8角球 - 圣塔克鲁兹
45+2' - 第9角球 - 圣塔克鲁兹
下半场角球: 
90' - 第13角球 - 圣塔克鲁兹
90+3' - 第14角球 - 圣塔克鲁兹
","上半场进球: 
41' - 第2个进球 -   (圣塔克鲁兹) 
下半场进球: 
90+5' - 第5个进球 -   (圣塔克鲁兹) 
"
